kgds_p X,kgds_p Y,kcdg_p X,kcdg_p Y,kgmp X,kgmp Y,reff X,reff Y,kcsg_p X,kcsg_p Y
1e-09,-6370.103832372592,1e-09,1.499179332433185e-07,1e-09,-14.29924662497855,1e-09,157190.3281648537,1e-09,1.501871212879481e-07
1.084366e-09,-5873.827310487823,1.084366e-09,1.382536603129824e-07,1.084366e-09,-14.2998001114194,1.084366e-09,157225.7170094263,1.084366e-09,1.385228609887733e-07
1.17585e-09,-5416.162030311105,1.17585e-09,1.274968944551715e-07,1.17585e-09,-14.30040041143708,1.17585e-09,157264.1083562113,1.17585e-09,1.277661087537284e-07
1.275051e-09,-4994.103940096139,1.275051e-09,1.175770297591341e-07,1.275051e-09,-14.30105149532282,1.275051e-09,157305.7584976371,1.275051e-09,1.178462587427831e-07
1.382622e-09,-4604.882715918113,1.382622e-09,1.084289537884775e-07,1.382622e-09,-14.30175767198152,1.382622e-09,157350.9458760521,1.382622e-09,1.086981985939804e-07
1.499268e-09,-4245.943566084588,1.499268e-09,9.999261992077562e-08,1.499268e-09,-14.30252361816631,1.499268e-09,157399.9730473872,1.499268e-09,1.002618817629684e-07
1.625756e-09,-3914.930470681968,1.625756e-09,9.221265341832732e-08,1.625756e-09,-14.30335441025657,1.625756e-09,157453.168825088,1.625756e-09,9.248193359360829e-08
1.762914e-09,-3609.670703583982,1.762914e-09,8.503798764169206e-08,1.762914e-09,-14.3042555589019,1.762914e-09,157510.8906279962,1.762914e-09,8.530728753127114e-08
1.911644e-09,-3328.160589361525,1.911644e-09,7.84215292881958e-08,1.911644e-09,-14.30523304666805,1.911644e-09,157573.5270444457,1.911644e-09,7.869085036099104e-08
2.072922e-09,-3060.131810563076,2.072922e-09,7.212192860547943e-08,2.072922e-09,-14.30632976950663,2.072922e-09,157643.8736976979,2.072922e-09,7.239127318257078e-08
2.247806e-09,-2820.719585374278,2.247806e-09,6.64949329420905e-08,2.247806e-09,-14.3074864172875,2.247806e-09,157718.0651271589,2.247806e-09,6.676430203609689e-08
2.437444e-09,-2599.93358537832,2.437444e-09,6.130572680644563e-08,2.437444e-09,-14.30874175494861,2.437444e-09,157798.62851772,2.437444e-09,6.157512218001103e-08
2.643081e-09,-2396.324602075954,2.643081e-09,5.652024905089975e-08,2.643081e-09,-14.31010430565873,2.643081e-09,157886.121588664,2.643081e-09,5.67896725618262e-08
2.866068e-09,-2208.556176772497,2.866068e-09,5.210708861137378e-08,2.866068e-09,-14.31158334691254,2.866068e-09,157981.1527417842,2.866068e-09,5.237654221129576e-08
3.107866e-09,-2035.395824499448,3.107866e-09,4.803727824376594e-08,3.107866e-09,-14.31318898056966,3.107866e-09,158084.3860022534,3.107866e-09,4.83067639750875e-08
3.370064e-09,-1875.70694607577,3.370064e-09,4.428410443494936e-08,3.370064e-09,-14.31493220993157,3.370064e-09,158196.5464976435,3.370064e-09,4.455362442561615e-08
3.654383e-09,-1728.441365550053,3.654383e-09,4.082293201343155e-08,3.654383e-09,-14.31682502475095,3.654383e-09,158318.4265491866,3.654383e-09,4.109248846902835e-08
3.962689e-09,-1592.632452867319,3.962689e-09,3.763104251597326e-08,3.962689e-09,-14.31888049500625,3.962689e-09,158450.8924495265,3.962689e-09,3.790063770853702e-08
4.297005e-09,-1467.388777327668,4.297005e-09,3.468748503098454e-08,4.297005e-09,-14.32111287460257,4.297005e-09,158594.8920259484,4.297005e-09,3.495712128380961e-08
4.659526e-09,-1351.888255569441,4.659526e-09,3.197293866644593e-08,4.659526e-09,-14.32353771616102,4.659526e-09,158751.4630936946,4.659526e-09,3.224261833402129e-08
5.052631e-09,-1245.372758135997,5.052631e-09,2.946958579783428e-08,5.052631e-09,-14.32617199820655,5.052631e-09,158921.7429196115,5.052631e-09,2.973931123989222e-08
5.478901e-09,-1147.143129979912,5.478901e-09,2.716099504696079e-08,5.478901e-09,-14.32903426653487,5.478901e-09,159106.9788544524,5.478901e-09,2.743076859543429e-08
5.941134e-09,-1056.554604176127,5.941134e-09,2.503201350481012e-08,5.941134e-09,-14.33214479133763,5.941134e-09,159308.5402884694,5.941134e-09,2.530183742227452e-08
6.442364e-09,-973.0125673653939,6.442364e-09,2.3068667223809e-08,6.442364e-09,-14.33552574247329,6.442364e-09,159527.9321492512,6.442364e-09,2.333854365173589e-08
6.98588e-09,-895.9686582142552,6.98588e-09,2.125806954008687e-08,6.98588e-09,-14.33920138510725,6.98588e-09,159766.8101639731,6.98588e-09,2.152800043494143e-08
7.57525e-09,-824.9171671732068,7.57525e-09,1.958833648066655e-08,7.57525e-09,-14.34319829876317,7.57525e-09,160026.9981796767,7.57525e-09,1.985832353554353e-08
8.214344e-09,-759.3917172628263,8.214344e-09,1.804850877969065e-08,8.214344e-09,-14.34754562302244,8.214344e-09,160310.5078698932,8.214344e-09,1.831855332879208e-08
8.907355000000001e-09,-698.962202513137,8.907355000000001e-09,1.6628479954899e-08,8.907355000000001e-09,-14.35227533386004,8.907355000000001e-09,160619.5612326408,8.907355000000001e-09,1.689858285770931e-08
9.658832e-09,-643.231964870423,9.658832e-09,1.531892999410844e-08,9.658832e-09,-14.35742255517968,9.658832e-09,160956.6163575534,9.658832e-09,1.558909149560991e-08
1.047371e-08,-591.835189955085,1.047371e-08,1.41112641914633e-08,1.047371e-08,-14.36302591109553,1.047371e-08,161324.3970479142,1.047371e-08,1.438148375415447e-08
1.135733e-08,-544.4345063412054,1.135733e-08,1.299755677407204e-08,1.135733e-08,-14.36912792526453,1.135733e-08,161725.9269894481,1.135733e-08,1.326783287689398e-08
1.231551e-08,-500.7187695611108,1.231551e-08,1.197049887834159e-08,1.231551e-08,-14.37577547532103,1.231551e-08,162164.5693432732,1.231551e-08,1.224082877688735e-08
1.335452e-08,-460.4010208007858,1.335452e-08,1.102335064136412e-08,1.335452e-08,-14.38302031109634,1.335452e-08,162644.0727738485,1.335452e-08,1.129373008293057e-08
1.448118e-08,-423.2166023217727,1.448118e-08,1.014989698657911e-08,1.448118e-08,-14.39091964824664,1.448118e-08,163168.625234018,1.448118e-08,1.042031987274106e-08
1.57029e-08,-388.9214195572085,1.57029e-08,9.344406869043424e-09,1.57029e-08,-14.39953685045071,1.57029e-08,163742.9170844782,1.57029e-08,9.614864857478639e-09
1.702769e-08,-357.2903383656553,1.702769e-08,8.601595711471754e-09,1.702769e-08,-14.40894221638908,1.702769e-08,164372.2155264158,1.702769e-08,8.872077747772789e-09
1.846425e-08,-328.1157062750903,1.846425e-08,7.916590770662034e-09,1.846425e-08,-14.41921389146202,1.846425e-08,165062.4528377093,1.846425e-08,8.187082539865957e-09
2.0022e-08,-301.2059893396217,2.0022e-08,7.284899239729785e-09,2.0022e-08,-14.43043892806019,2.0022e-08,165820.3315072666,2.0022e-08,7.555382526328985e-09
2.171118e-08,-276.3845129648842,2.171118e-08,6.702378815177148e-09,2.171118e-08,-14.44271452520466,2.171118e-08,166653.4502945279,2.171118e-08,6.972830759519977e-09
2.354286e-08,-253.4883013377786,2.354286e-08,6.165210605602638e-09,2.354286e-08,-14.45614948367837,2.354286e-08,167570.4562208163,2.354286e-08,6.435602843953087e-09
2.552908e-08,-232.3670055901481,2.552908e-08,5.669874153403542e-09,2.552908e-08,-14.47086592376547,2.552908e-08,168581.2290859295,2.552908e-08,5.940171828656326e-09
2.768287e-08,-212.8819154965883,2.768287e-08,5.213124450805143e-09,2.768287e-08,-14.48700132262505,2.768287e-08,169697.106932321,2.768287e-08,5.483285081151451e-09
3.001836e-08,-194.9050460496214,3.001836e-08,4.791970750838753e-09,3.001836e-08,-14.50471094586599,3.001836e-08,170931.1636737899,3.001836e-08,5.061942944804745e-09
3.255089e-08,-178.3182948687352,3.255089e-08,4.403657082505688e-09,3.255089e-08,-14.52417076509216,3.255089e-08,172298.5535190908,3.255089e-08,4.67337909111896e-09
3.529707e-08,-163.0126628421863,3.529707e-08,4.04564429643722e-09,3.529707e-08,-14.54558098243156,3.529707e-08,173816.9419942256,3.529707e-08,4.315042397228198e-09
3.827494e-08,-148.8875346043829,3.827494e-08,3.71559356645119e-09,3.827494e-08,-14.56917031419366,3.827494e-08,175507.0500417246,3.827494e-08,3.984580280194393e-09
4.150405e-08,-135.8500125085268,4.150405e-08,3.411351204227569e-09,4.150405e-08,-14.59520123520787,4.150405e-08,177393.3476679727,4.150405e-08,3.679823354397653e-09
4.500558e-08,-123.8143000291329,4.500558e-08,3.130934698763288e-09,4.500558e-08,-14.62397644572833,4.500558e-08,179504.947469418,4.500558e-08,3.398771336499335e-09
4.880252e-08,-112.7011303891807,4.880252e-08,2.872519890692835e-09,4.880252e-08,-14.65584690695406,4.880252e-08,181876.7686727958,4.880252e-08,3.139580125574733e-09
5.291979e-08,-102.400251823181,5.291979e-08,2.633571432814776e-09,5.291979e-08,-14.69135890044156,5.291979e-08,184561.6456966006,5.291979e-08,2.899688293614139e-09
5.738442e-08,-92.954853826487,5.738442e-08,2.415120735567682e-09,5.738442e-08,-14.73058178272141,5.738442e-08,187579.5137863186,5.738442e-08,2.680114790701783e-09
6.222571e-08,-84.19126635079022,6.222571e-08,2.21317852079492e-09,6.222571e-08,-14.7744941220341,6.222571e-08,191025.9254012701,6.222571e-08,2.476832299768724e-09
6.747544e-08,-76.08836834927583,6.747544e-08,2.027303275462972e-09,6.747544e-08,-14.82363462241379,6.747544e-08,194970.1539358434,6.747544e-08,2.289375457035711e-09
7.316807e-08,-68.59226161781685,7.316807e-08,1.856304219713126e-09,7.316807e-08,-14.8788141602532,7.316807e-08,199513.4435561896,7.316807e-08,2.116524732044464e-09
7.934097000000001e-08,-61.65287075868378,7.934097000000001e-08,1.699091595407612e-09,7.934097000000001e-08,-14.9410142734222,7.934097000000001e-08,204786.1396463223,7.934097000000001e-08,1.957161567932759e-09
8.603463999999999e-08,-55.04769991562379,8.603463999999999e-08,1.55073124855503e-09,8.603463999999999e-08,-15.01353598848548,8.603463999999999e-08,211148.528721604,8.603463999999999e-08,1.806247950151062e-09
9.329304e-08,-49.04323139313387,9.329304e-08,1.417315013863725e-09,9.329304e-08,-15.09475615572668,9.329304e-08,218561.0394882887,9.329304e-08,1.669964473312394e-09
1.011638e-07,-43.45289939127967,1.011638e-07,1.29474193400312e-09,1.011638e-07,-15.18815295703961,1.011638e-07,227487.8317848622,1.011638e-07,1.544134561805357e-09
1.096986e-07,-38.23434294706141,1.096986e-07,1.182208112574666e-09,1.096986e-07,-15.2964559561862,1.096986e-07,238423.7695620459,1.096986e-07,1.42793449027685e-09
1.189534e-07,-33.34556959266997,1.189534e-07,1.078969018201387e-09,1.189534e-07,-15.42332313688701,1.189534e-07,252112.2147131691,1.189534e-07,1.320608503563359e-09
1.28989e-07,-28.74375397326037,1.28989e-07,9.84334009845623e-10,1.28989e-07,-15.57379147409162,1.28989e-07,269726.41959157,1.28989e-07,1.221467372608166e-09
1.398713e-07,-24.38359295454988,1.398713e-07,8.976635156120954e-10,1.398713e-07,-15.75501548747228,1.398713e-07,293237.251303684,1.398713e-07,1.129891597565528e-09
1.516717e-07,-20.21516292128986,1.516717e-07,8.183735746276818e-10,1.516717e-07,-15.97750609815996,1.516717e-07,326232.8522119739,1.516717e-07,1.045346343100795e-09
1.644676e-07,-16.18197954700165,1.644676e-07,7.45962298077768e-10,1.644676e-07,-16.25717841512473,1.644676e-07,375980.0220185164,1.644676e-07,9.67429164523223e-10
1.783431e-07,-12.22417304195456,1.783431e-07,6.801041855482826e-10,1.783431e-07,-16.61816442295644,1.783431e-07,459477.5087475356,1.783431e-07,8.960150431803773e-10
1.933892e-07,-8.072962825931544,1.933892e-07,6.174877395043898e-10,1.933892e-07,-17.12572368503225,1.933892e-07,640560.9300155749,1.933892e-07,8.279299593268808e-10
2.097046e-07,-3.993534264152814,2.097046e-07,5.60929887046963e-10,2.097046e-07,-17.80145456698363,2.097046e-07,1195144.018248282,2.097046e-07,7.673328076332057e-10
2.273966e-07,-1.155740468425956,2.273966e-07,5.057573916571405e-10,2.273966e-07,-18.39359154327705,2.273966e-07,3805712.717340637,2.273966e-07,7.114699182053065e-10
2.465811e-07,-0.6631066349289169,2.465811e-07,4.584088890053343e-10,2.465811e-07,-18.41993835851317,2.465811e-07,6116040.082446875,2.465811e-07,6.598701508540995e-10
2.673842e-07,-0.5037447261548086,2.673842e-07,4.141383560159302e-10,2.673842e-07,-18.31433717358422,2.673842e-07,7424683.599259574,2.673842e-07,6.116427617911209e-10
2.899423e-07,-0.4152252948042922,2.899423e-07,3.575605113918482e-10,2.899423e-07,-18.15526264258825,2.899423e-07,8309318.56045112,2.899423e-07,5.674209891882469e-10
3.144035e-07,-0.3605210437578674,3.144035e-07,2.883280078596066e-10,3.144035e-07,-17.95634291040825,3.144035e-07,8822344.525350187,3.144035e-07,5.264976014585837e-10
3.409285e-07,-0.3247141369298419,3.409285e-07,2.365941382134645e-10,3.409285e-07,-17.72968773412181,3.409285e-07,9032449.057750439,3.409285e-07,4.890310236427278e-10
3.696913e-07,-0.2996077605615936,3.696913e-07,2.015118881295772e-10,3.696913e-07,-17.48211835519363,3.696913e-07,9028398.470137725,3.696913e-07,4.545888014045122e-10
4.008806e-07,-0.2808738616094655,4.008806e-07,1.756858198069749e-10,4.008806e-07,-17.21796400395517,4.008806e-07,8881337.236197816,4.008806e-07,4.227767179585143e-10
4.347013e-07,-0.2661770205004637,4.347013e-07,1.553731131874536e-10,4.347013e-07,-16.94116535741341,4.347013e-07,8642891.271889692,4.347013e-07,3.933838063076272e-10
4.713753e-07,-0.254154345240797,4.713753e-07,1.387043457662202e-10,4.713753e-07,-16.65491183968524,4.713753e-07,8349197.090456311,4.713753e-07,3.662320464052096e-10
5.111433e-07,-0.2440039604207043,5.111433e-07,1.246863023960596e-10,5.111433e-07,-16.36270612565104,5.111433e-07,8025922.270088918,5.111433e-07,3.412318871270763e-10
5.542665e-07,-0.2352534227590121,5.542665e-07,1.127600405353451e-10,5.542665e-07,-16.06900222462897,5.542665e-07,7692296.142467149,5.542665e-07,3.183818589822095e-10
6.010277000000001e-07,-0.2276218243575996,6.010277000000001e-07,1.02584643462309e-10,6.010277000000001e-07,-15.77912521805219,6.010277000000001e-07,7363143.54494327,6.010277000000001e-07,2.977215092572994e-10
6.51734e-07,-0.2209287406700791,6.51734e-07,9.391400004200414e-11,6.51734e-07,-15.49834398048981,6.51734e-07,7049190.782227049,6.51734e-07,2.792548078016322e-10
7.067181e-07,-0.2150372948602481,7.067181e-07,8.653234675043643e-11,7.067181e-07,-15.23068807036492,7.067181e-07,6756861.359703861,7.067181e-07,2.62894109319126e-10
7.663411e-07,-0.2098281132670058,7.663411e-07,8.023545097491858e-11,7.663411e-07,-14.97834824024298,7.663411e-07,6488703.649445887,7.663411e-07,2.484599346523526e-10
8.309942e-07,-0.2051926426243671,8.309942e-07,7.483444776305477e-11,8.309942e-07,-14.74180295920995,8.309942e-07,6244464.643588535,8.309942e-07,2.357177605181686e-10
9.011018e-07,-0.2010351509173944,9.011018e-07,7.016485198659352e-11,9.011018e-07,-14.52039159587541,9.011018e-07,6022344.547668686,9.011018e-07,2.244226356328464e-10
9.771242e-07,-0.1972748307569542,9.771242e-07,6.609063982451483e-11,9.771242e-07,-14.31289371559602,9.771242e-07,5819952.263247062,9.771242e-07,2.143489829049459e-10
1.05956e-06,-0.1938460080087168,1.05956e-06,6.250328249353045e-11,1.05956e-06,-14.11794254219275,1.05956e-06,5634875.449619122,1.05956e-06,2.05304049404533e-10
1.148951e-06,-0.1906747904672424,1.148951e-06,5.929611898894905e-11,1.148951e-06,-13.93295870706671,1.148951e-06,5463764.179128714,1.148951e-06,1.970736298603925e-10
1.245883e-06,-0.1877852882274196,1.245883e-06,5.646765261906134e-11,1.245883e-06,-13.76066156963608,1.245883e-06,5308271.550277415,1.245883e-06,1.896978895113216e-10
1.350994e-06,-0.1850859440074537,1.350994e-06,5.390659293728072e-11,1.350994e-06,-13.59659780975438,1.350994e-06,5163629.590584346,1.350994e-06,1.829211264188212e-10
1.464971e-06,-0.1825727656194096,1.464971e-06,5.159285892781025e-11,1.464971e-06,-13.44125917004689,1.464971e-06,5029694.533601582,1.464971e-06,1.767154581216951e-10
1.588565e-06,-0.1801995661846297,1.588565e-06,4.94704694553214e-11,1.588565e-06,-13.29236281171204,1.588565e-06,4904011.083053546,1.588565e-06,1.709508469588356e-10
1.722586e-06,-0.1780412731219226,1.722586e-06,4.759277903917982e-11,1.722586e-06,-13.15516347750237,1.722586e-06,4790487.066174337,1.722586e-06,1.65791249126779e-10
1.867914e-06,-0.1760003354916827,1.867914e-06,4.586290833848774e-11,1.867914e-06,-13.02390368685177,1.867914e-06,4683890.278316206,1.867914e-06,1.609865651517163e-10
2.025502e-06,-0.1740706988839042,2.025502e-06,4.426796726360465e-11,2.025502e-06,-12.89848772902731,2.025502e-06,4583841.026648754,2.025502e-06,1.565116102394727e-10
2.196385e-06,-0.1723256707334552,2.196385e-06,4.285933493098169e-11,2.196385e-06,-12.7840124987768,2.196385e-06,4494024.376767206,2.196385e-06,1.525222902688032e-10
2.381686e-06,-0.1706803868592529,2.381686e-06,4.156029638265599e-11,2.381686e-06,-12.67518077873661,2.381686e-06,4409944.625680448,2.381686e-06,1.488115456920064e-10
2.582619e-06,-0.1691474811718069,2.582619e-06,4.037516914179706e-11,2.582619e-06,-12.57302041898049,2.582619e-06,4332158.916392957,2.582619e-06,1.453987932718237e-10
2.800504e-06,-0.1677201126218777,2.800504e-06,3.929328731434821e-11,2.800504e-06,-12.47725004803384,2.800504e-06,4260224.228222678,2.800504e-06,1.422598840948664e-10
