kcsg_p X,kcsg_p Y
1e-09,8.991642646971509e-07
1.013925e-09,8.869081147936361e-07
1.028045e-09,8.748190487008554e-07
1.042361e-09,8.628947885383951e-07
1.056876e-09,8.511330896431531e-07
1.071593e-09,8.395317363748141e-07
1.086516e-09,8.280885445747521e-07
1.101646e-09,8.168013591690633e-07
1.116987e-09,8.056680549554448e-07
1.132541e-09,7.946865337318454e-07
1.148312e-09,7.838547279297579e-07
1.164303e-09,7.731705983506209e-07
1.180517e-09,7.626321315547037e-07
1.196956e-09,7.522373438576544e-07
1.213624e-09,7.419842761517236e-07
1.230524e-09,7.318709977581741e-07
1.24766e-09,7.218956033119348e-07
1.265034e-09,7.1205621511288e-07
1.28265e-09,7.023509779914329e-07
1.300511e-09,6.927780655167984e-07
1.318621e-09,6.833356733508033e-07
1.336984e-09,6.7402202260562e-07
1.355602e-09,6.648353597179248e-07
1.374479e-09,6.557739529744732e-07
1.393619e-09,6.468360964557369e-07
1.413026e-09,6.380201052493286e-07
1.432703e-09,6.293243196577472e-07
1.452654e-09,6.207471002204494e-07
1.472883e-09,6.122868317304619e-07
1.493393e-09,6.039419201591543e-07
1.514189e-09,5.957107931431617e-07
1.535275e-09,5.875918996003729e-07
1.556654e-09,5.79583710477114e-07
1.578331e-09,5.716847161005325e-07
1.60031e-09,5.638934288085719e-07
1.622595e-09,5.562083803662732e-07
1.645191e-09,5.486281223965833e-07
1.668101e-09,5.41151227034182e-07
1.69133e-09,5.33776284932059e-07
1.714882e-09,5.265019065942312e-07
1.738762e-09,5.193267213906982e-07
1.762975e-09,5.122493769786417e-07
1.787526e-09,5.052685396247756e-07
1.812418e-09,4.983828941718878e-07
1.837656e-09,4.915911426474734e-07
1.863246e-09,4.848920051266617e-07
1.889193e-09,4.782842194244151e-07
1.915501e-09,4.717665398236903e-07
1.942175e-09,4.653377385901094e-07
1.96922e-09,4.589966035156128e-07
1.996642e-09,4.52741939644507e-07
2.024447e-09,4.465725682927318e-07
2.052638e-09,4.404873266141395e-07
2.081222e-09,4.344850678287038e-07
2.110203e-09,4.285646603786513e-07
2.139589e-09,4.227249887583982e-07
2.169384e-09,4.169649518963544e-07
2.199593e-09,4.112834641764674e-07
2.230223e-09,4.05679454829732e-07
2.26128e-09,4.001518675675818e-07
2.292769e-09,3.946996602470613e-07
2.324697e-09,3.893218053952805e-07
2.357069e-09,3.840172891697834e-07
2.389893e-09,3.787851117147431e-07
2.423173e-09,3.736242866722889e-07
2.456916e-09,3.685338411924383e-07
2.49113e-09,3.635128157726472e-07
2.52582e-09,3.585602638162732e-07
2.560993e-09,3.536752517852996e-07
2.596656e-09,3.488568586394344e-07
2.632815e-09,3.441041761187864e-07
2.669478e-09,3.394163083286737e-07
2.706652e-09,3.347923713663524e-07
2.744343e-09,3.302314935824491e-07
2.782559e-09,3.257328150828467e-07
2.821308e-09,3.212954877389431e-07
2.860596e-09,3.169186750656141e-07
2.90043e-09,3.126015517761535e-07
2.94082e-09,3.083433040112778e-07
2.981772e-09,3.041431290060015e-07
3.023295e-09,3.000002347879991e-07
3.065395e-09,2.95913840191695e-07
3.108082e-09,2.918831748513266e-07
3.151363e-09,2.879074788126077e-07
3.195248e-09,2.839860024506113e-07
3.239743e-09,2.801180063825277e-07
3.284857e-09,2.763027613757045e-07
3.3306e-09,2.725395479268343e-07
3.37698e-09,2.688276566007156e-07
3.424006e-09,2.651663874528492e-07
3.471687e-09,2.615550501227865e-07
3.520031e-09,2.579929636781955e-07
3.569049e-09,2.544794564661665e-07
3.61875e-09,2.510138660398443e-07
3.669142e-09,2.475955388121976e-07
3.720237e-09,2.44223830269338e-07
3.772042e-09,2.4089810462762e-07
3.824570000000001e-09,2.376177347746835e-07
3.877828000000001e-09,2.343821020845643e-07
3.931829e-09,2.311905965382196e-07
3.986581e-09,2.280426162421645e-07
4.042096e-09,2.249375676148163e-07
4.098384000000001e-09,2.21874865099763e-07
4.155455e-09,2.188539311704038e-07
4.213322e-09,2.158741961671515e-07
4.271994000000001e-09,2.129350981952595e-07
4.331483000000001e-09,2.100360829766537e-07
4.391801e-09,2.071766038050394e-07
4.452959e-09,2.043561215400483e-07
4.514968e-09,2.015741042341211e-07
4.577841e-09,1.988300272786866e-07
4.641589e-09,1.96123373137651e-07
4.706225e-09,1.934536314765653e-07
4.771761e-09,1.908202987827604e-07
4.838210000000001e-09,1.882228784567702e-07
4.905584000000001e-09,1.856608806899223e-07
4.973896e-09,1.831338222755699e-07
5.043159e-09,1.806412267223078e-07
5.113388e-09,1.781826239227579e-07
5.184594e-09,1.757575501986662e-07
5.256791e-09,1.733655482624117e-07
5.329994e-09,1.710061669819733e-07
5.404216e-09,1.686789614190824e-07
5.479472000000001e-09,1.663834927000382e-07
5.555776e-09,1.641193279249437e-07
5.633143e-09,1.618860400520125e-07
5.711586e-09,1.596832079836314e-07
5.791123e-09,1.57510416223717e-07
5.871766e-09,1.55367255050633e-07
5.953533000000001e-09,1.532533202702551e-07
6.036439e-09,1.51168213220865e-07
6.120498000000001e-09,1.491115406709582e-07
6.205729e-09,1.470829147232556e-07
6.292146e-09,1.450819528385135e-07
6.379767000000001e-09,1.43108277645837e-07
6.468608e-09,1.411615169246344e-07
6.558686e-09,1.3924130353829e-07
6.650018000000001e-09,1.373472753690381e-07
6.742622000000001e-09,1.354790751743431e-07
6.836516e-09,1.336363506701807e-07
6.931717e-09,1.318187543474502e-07
7.028244e-09,1.30025943399918e-07
7.126115000000001e-09,1.282575797265701e-07
7.225349e-09,1.265133298384887e-07
7.325965e-09,1.247928648056328e-07
7.427982e-09,1.230958601380692e-07
7.53142e-09,1.214219958376179e-07
7.636298e-09,1.197709562158473e-07
7.742637e-09,1.181424298989528e-07
7.850456000000001e-09,1.165361097949388e-07
7.959777e-09,1.149516929579675e-07
8.070620000000001e-09,1.133888805917198e-07
8.183007e-09,1.118473779772284e-07
8.296959e-09,1.103268944177691e-07
8.412497000000001e-09,1.088271431723314e-07
8.529645e-09,1.073478414173474e-07
8.648423e-09,1.058887101831513e-07
8.768855999999999e-09,1.044494743052474e-07
8.890966000000001e-09,1.030298623763877e-07
9.014776e-09,1.016296066882333e-07
9.140311000000001e-09,1.002484431863557e-07
9.267593e-09,9.888611141516723e-08
9.396648000000002e-09,9.754235446500954e-08
9.5275e-09,9.621691895118768e-08
9.660175000000001e-09,9.490955491211829e-08
9.794697e-09,9.362001584027696e-08
9.931092000000001e-09,9.234805855484914e-08
1.006939e-08,9.109344324939339e-08
1.020961e-08,8.985593323860937e-08
1.035178e-08,8.863529518840941e-08
1.049593e-08,8.743129902394571e-08
1.064209e-08,8.624371770906135e-08
1.079029e-08,8.50723271796773e-08
1.094055e-08,8.391690673834517e-08
1.10929e-08,8.277723834712831e-08
1.124737e-08,8.165310724692576e-08
1.1404e-08,8.054430135681356e-08
1.15628e-08,7.945061171348114e-08
1.172382e-08,7.837183204331962e-08
1.188708e-08,7.730775891074379e-08
1.205261e-08,7.625819177623671e-08
1.222045e-08,7.522293267441337e-08
1.239062e-08,7.420178647075023e-08
1.256317e-08,7.31945606125227e-08
1.273811e-08,7.220106513795129e-08
1.29155e-08,7.122111278875469e-08
1.309535e-08,7.025451883482775e-08
1.327771e-08,6.930110097303153e-08
1.346261e-08,6.836067948883735e-08
1.365008e-08,6.743307704633954e-08
1.384016e-08,6.651811784271414e-08
1.403289e-08,6.561563234315371e-08
1.42283e-08,6.472544741909681e-08
1.442644e-08,6.384739621935857e-08
1.462733e-08,6.298131323345066e-08
1.483103e-08,6.212703519775078e-08
1.503755e-08,6.128440105545635e-08
1.524696e-08,6.045325195813809e-08
1.545928e-08,5.963343126312498e-08
1.567455e-08,5.882478437890739e-08
1.589283e-08,5.802715888358818e-08
1.611414e-08,5.724040448073541e-08
1.633854e-08,5.646437278730311e-08
1.656606e-08,5.569891758312902e-08
1.679675e-08,5.494389456550666e-08
1.703065e-08,5.419916142112797e-08
1.726781e-08,5.346457776122983e-08
1.750827e-08,5.274000515258712e-08
1.775208e-08,5.202530702437812e-08
1.799929e-08,5.132034867061615e-08
1.824993e-08,5.062499722159187e-08
1.850407e-08,4.993912161648652e-08
1.876175e-08,4.92625926288461e-08
1.902301e-08,4.859528268303344e-08
1.928792e-08,4.793706608889187e-08
1.955651e-08,4.728781875927237e-08
1.982884e-08,4.664741836308038e-08
2.010496e-08,4.601574420320795e-08
2.038493e-08,4.539267724222927e-08
2.06688e-08,4.47781000571228e-08
2.095662e-08,4.417189688126656e-08
2.124845e-08,4.357395343458312e-08
2.154435e-08,4.298415705303651e-08
2.184436e-08,4.240239662296332e-08
2.214855e-08,4.182856250399004e-08
2.245698e-08,4.126254658820751e-08
2.27697e-08,4.070424224169838e-08
2.308678e-08,4.01535442352832e-08
2.340827e-08,3.961034883380339e-08
2.373424e-08,3.907455369036157e-08
2.406475e-08,3.854605786489822e-08
2.439986e-08,3.802476179137172e-08
2.473964e-08,3.751056724757717e-08
2.508415e-08,3.700337738544076e-08
2.543346e-08,3.650309664099722e-08
2.578763e-08,3.600963076612387e-08
2.614673e-08,3.55228868263004e-08
2.651084e-08,3.50427731181579e-08
2.688001e-08,3.456919919898086e-08
2.725433e-08,3.410207588483209e-08
2.763385e-08,3.364131516272932e-08
2.801867e-08,3.318683026600979e-08
2.840884e-08,3.273853557699287e-08
2.880444e-08,3.229634667507126e-08
2.920556e-08,3.186018026789442e-08
2.961225e-08,3.142995421474609e-08
3.002462e-08,3.100558749347787e-08
3.044272e-08,3.058700018042491e-08
3.086665e-08,3.017411345074684e-08
3.129648e-08,2.976684953934978e-08
3.17323e-08,2.936513176970031e-08
3.217418e-08,2.896888448766895e-08
3.262222e-08,2.857803308131845e-08
3.307650000000001e-08,2.819250395392768e-08
3.35371e-08,2.78122245156693e-08
3.400412e-08,2.743712315893576e-08
3.447764e-08,2.706712926661686e-08
3.495776e-08,2.670217317978591e-08
3.544456e-08,2.634218617598344e-08
3.593814e-08,2.598710049187503e-08
3.643859e-08,2.563684927847973e-08
3.694601e-08,2.529136660200346e-08
3.746050000000001e-08,2.495058741679892e-08
3.798215e-08,2.461444758548698e-08
3.851107e-08,2.428288382623999e-08
3.904735e-08,2.395583372692518e-08
3.95911e-08,2.363323573797594e-08
4.014242e-08,2.33150291305905e-08
4.070142e-08,2.300115401541975e-08
4.126821e-08,2.269155131913998e-08
4.184289e-08,2.238616277890719e-08
4.242556e-08,2.208493091580953e-08
4.301636e-08,2.178779904582034e-08
4.361538000000001e-08,2.149471124899937e-08
4.422274e-08,2.120561237030602e-08
4.483856e-08,2.092044801894182e-08
4.546295000000001e-08,2.063916452636923e-08
4.609604e-08,2.036170897448175e-08
4.673795e-08,2.008802915493838e-08
4.73888e-08,1.981807357447589e-08
4.80487e-08,1.955179144620139e-08
4.87178e-08,1.928913267320677e-08
4.939622000000001e-08,1.903004784103403e-08
5.008408000000001e-08,1.8774488210112e-08
5.078152e-08,1.852240570816223e-08
5.148867e-08,1.82737529121761e-08
5.220568e-08,1.802848305230734e-08
5.293266e-08,1.778654999757033e-08
5.366977e-08,1.754790823620947e-08
5.441714000000001e-08,1.731251289224157e-08
5.517492e-08,1.708031968988666e-08
5.594326e-08,1.685128496069747e-08
5.672229e-08,1.662536563135557e-08
5.751217e-08,1.6402519220643e-08
5.831305e-08,1.618270381956256e-08
5.912508e-08,1.596587809725514e-08
5.994843e-08,1.575200128189432e-08
6.078323000000001e-08,1.554103315851458e-08
6.162966e-08,1.533293406134387e-08
6.248788e-08,1.512766486634452e-08
6.335805e-08,1.492518698164369e-08
6.424034000000001e-08,1.472546234520811e-08
6.513491000000001e-08,1.45284534067129e-08
6.604194e-08,1.433412313459279e-08
6.696160000000001e-08,1.414243499844415e-08
6.789407e-08,1.395335296926858e-08
6.883951999999999e-08,1.376684150710567e-08
6.979814000000001e-08,1.3582865557288e-08
7.077011000000001e-08,1.340139054273454e-08
7.175561000000001e-08,1.322238235659027e-08
7.275484000000001e-08,1.304580736040854e-08
7.376798e-08,1.287163236989691e-08
7.479523e-08,1.269982465857908e-08
7.583678000000002e-08,1.253035194240281e-08
7.689284000000001e-08,1.236318237688334e-08
7.79636e-08,1.219828455544277e-08
7.904928000000001e-08,1.203562749390745e-08
8.015007e-08,1.187518063680881e-08
8.126619e-08,1.171691384234389e-08
8.239786e-08,1.156079737709521e-08
8.354528000000001e-08,1.140680191880829e-08
8.470868000000001e-08,1.125489853737648e-08
8.588829e-08,1.110505870441396e-08
8.708431000000001e-08,1.095725427623222e-08
8.8297e-08,1.08114574941902e-08
8.952657000000001e-08,1.066764097507985e-08
9.077327e-08,1.052577771357275e-08
9.203732e-08,1.038584106830905e-08
9.331898e-08,1.024780476437971e-08
9.461848000000001e-08,1.011164288236248e-08
9.593608000000001e-08,9.977329857480489e-09
9.727203e-08,9.844840472391291e-09
9.862658000000001e-08,9.714149853332773e-09
1e-07,9.585233466259479e-09
1.013925e-07,9.458067107565201e-09
1.028045e-07,9.332626919337585e-09
1.042361e-07,9.208889341874858e-09
1.056876e-07,9.086831159400427e-09
1.071593e-07,8.966429456529623e-09
1.086516e-07,8.847661643777496e-09
1.101646e-07,8.730505432677294e-09
1.116987e-07,8.614938843939422e-09
1.132541e-07,8.500940177640377e-09
1.148312e-07,8.388488050932183e-09
1.164303e-07,8.277561374543385e-09
1.180517e-07,8.168139325665082e-09
1.196956e-07,8.060201389441506e-09
1.213624e-07,7.953727305196268e-09
1.230524e-07,7.848697106432086e-09
1.24766e-07,7.745091088480001e-09
1.265034e-07,7.64288983291943e-09
1.28265e-07,7.542074154249126e-09
1.300511e-07,7.442625164374253e-09
1.318621e-07,7.344524203570783e-09
1.336984e-07,7.247752875365511e-09
1.355602e-07,7.152293045236681e-09
1.374479e-07,7.058126804514491e-09
1.393619e-07,6.965236511365686e-09
1.413026e-07,6.873604741055697e-09
1.432703e-07,6.783214329684881e-09
1.452654e-07,6.694048322455226e-09
1.472883e-07,6.606090015427114e-09
1.493393e-07,6.519322923560676e-09
1.514189e-07,6.433730785783434e-09
1.535275e-07,6.349297561005805e-09
1.556654e-07,6.266007435901608e-09
1.578331e-07,6.183844797381824e-09
1.60031e-07,6.102794259958382e-09
1.622595e-07,6.022840638881318e-09
1.645191e-07,5.943968954628919e-09
1.668101e-07,5.866164439723683e-09
1.69133e-07,5.789412518002249e-09
1.714882e-07,5.713698818495862e-09
1.738762e-07,5.639009165193774e-09
1.762975e-07,5.565329571031035e-09
1.787526e-07,5.492646241257627e-09
1.812418e-07,5.420945573106828e-09
1.837656e-07,5.350214141322091e-09
1.863246e-07,5.280438707157845e-09
1.889193e-07,5.211606215191593e-09
1.915501e-07,5.143703780092201e-09
1.942175e-07,5.076718702416003e-09
1.96922e-07,5.010638443032812e-09
1.996642e-07,4.94545064112681e-09
2.024447e-07,4.881143103996857e-09
2.052638e-07,4.817703802554439e-09
2.081222e-07,4.755120873721389e-09
2.110203e-07,4.693382611651116e-09
2.139589e-07,4.632477476402898e-09
2.169384e-07,4.572394077086943e-09
2.199593e-07,4.513121182538466e-09
2.230223e-07,4.454647714992877e-09
2.26128e-07,4.396962746282992e-09
2.292769e-07,4.340055494365225e-09
2.324697e-07,4.283915328816135e-09
2.357069e-07,4.228531760004073e-09
2.389893e-07,4.173894442829498e-09
2.423173e-07,4.119993171646638e-09
2.456916e-07,4.066817880390042e-09
2.49113e-07,4.014358640923814e-09
2.52582e-07,3.962605658452773e-09
2.560993e-07,3.911549273142915e-09
2.596656e-07,3.861179954284529e-09
2.632815e-07,3.811488303271709e-09
2.669478e-07,3.762465049288885e-09
2.706652e-07,3.714101045432485e-09
2.744343e-07,3.666387271471043e-09
2.782559e-07,3.619314828661663e-09
2.821308e-07,3.572874939883669e-09
2.860596e-07,3.527058948389211e-09
2.90043e-07,3.481858313171704e-09
2.94082e-07,3.437264611390394e-09
2.981772e-07,3.393269534910953e-09
3.023295e-07,3.349864887173696e-09
3.065395e-07,3.307042583368341e-09
3.108082e-07,3.264794650390683e-09
3.151363e-07,3.223113222801642e-09
3.195248e-07,3.181990541994821e-09
3.239743e-07,3.141418955310463e-09
3.284857e-07,3.101390915100692e-09
3.3306e-07,3.061898974344088e-09
3.37698e-07,3.022935790229306e-09
3.424006e-07,2.984494118125839e-09
3.471687e-07,2.946566812592677e-09
3.520031000000001e-07,2.909146825771122e-09
3.569049e-07,2.872227205853255e-09
3.61875e-07,2.835801096341681e-09
3.669142e-07,2.799861732440583e-09
3.720237e-07,2.764402443328102e-09
3.772042000000001e-07,2.72941664858242e-09
3.82457e-07,2.694897857591719e-09
3.877828e-07,2.660839667639192e-09
3.931829000000001e-07,2.627235765203098e-09
3.986581e-07,2.594079920920116e-09
4.042096e-07,2.561365991577712e-09
4.098384e-07,2.529087917125092e-09
4.155455e-07,2.497239720752864e-09
4.213322e-07,2.465815507208367e-09
4.271994000000001e-07,2.434809461749387e-09
4.331483e-07,2.40421584861203e-09
4.391801e-07,2.374029010567657e-09
4.452959000000001e-07,2.344243368893225e-09
4.514968e-07,2.31485341946282e-09
4.577841000000001e-07,2.285853734321493e-09
4.641589e-07,2.257238958900556e-09
4.706225e-07,2.229003813414191e-09
4.771761000000001e-07,2.201143088874171e-09
4.838210000000001e-07,2.173651648086686e-09
4.905584e-07,2.146524424388266e-09
4.973896e-07,2.119756419678062e-09
5.043159000000001e-07,2.093342705647396e-09
5.113388e-07,2.067278420301946e-09
5.184594e-07,2.041558768468788e-09
5.256791e-07,2.016179021419656e-09
5.329994000000001e-07,1.991134514407873e-09
5.404216000000001e-07,1.966420647103e-09
5.479472e-07,1.942032882249643e-09
5.555776e-07,1.91796674473312e-09
5.633143000000001e-07,1.89421782037938e-09
5.711586e-07,1.870781756899841e-09
5.791123e-07,1.847654260276964e-09
5.871766e-07,1.824831096632486e-09
5.953533000000001e-07,1.80230808962879e-09
6.036439e-07,1.780081120549114e-09
6.120498e-07,1.758146127237678e-09
6.205729000000001e-07,1.736499103104446e-09
6.292146000000001e-07,1.71513609740786e-09
6.379767e-07,1.694053213259142e-09
6.468608000000001e-07,1.673246607456979e-09
6.558686000000001e-07,1.652712489806799e-09
6.650018000000001e-07,1.632447122452652e-09
6.742622e-07,1.61244681836787e-09
6.836516000000001e-07,1.592707942273736e-09
6.931717e-07,1.573226908701793e-09
7.028244e-07,1.554000181247702e-09
7.126115000000001e-07,1.535024272622926e-09
7.225349e-07,1.516295743682838e-09
7.325965e-07,1.497811202881893e-09
7.427982e-07,1.479567305023734e-09
7.531420000000001e-07,1.461560751842001e-09
7.636298000000001e-07,1.443788290069432e-09
7.742637e-07,1.426246711514773e-09
7.850456e-07,1.40893285273523e-09
7.959777000000001e-07,1.391843593600092e-09
8.070620000000001e-07,1.37497585735112e-09
8.183007000000001e-07,1.358326609848844e-09
8.296959000000001e-07,1.341892859002066e-09
8.412497e-07,1.325671654073111e-09
8.529645000000001e-07,1.309660085287933e-09
8.648423000000001e-07,1.293855283172371e-09
8.768856e-07,1.27825441804799e-09
8.890966e-07,1.262854699536246e-09
9.014776000000001e-07,1.247653375948934e-09
9.140311000000001e-07,1.23264773382291e-09
9.267593000000001e-07,1.217835097344622e-09
9.396648000000001e-07,1.203212827797448e-09
9.527500000000001e-07,1.188778323356123e-09
9.660175000000001e-07,1.174529018000134e-09
9.794697000000001e-07,1.160462381872668e-09
